folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcaroa2,"Average Central Apnea length with >=2% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcaroa3,"Average Central Apnea length with >=3% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcaroa4,"Average Central Apnea length with >=4% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcaroa5,"Average Central Apnea length with >=5% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcarop,"Average Central Apnea length (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcarop2,"Average Central Apnea length (Rapid eye movement sleep (REM), Non-supine, >=2% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcarop3,"Average Central Apnea length (Rapid eye movement sleep (REM), Non-supine, >=3% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcarop4,"Average Central Apnea length (Rapid eye movement sleep (REM), Non-supine, >=4% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcarop5,"Average Central Apnea length (Rapid eye movement sleep (REM), Non-supine, >=5% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canba,"Number of Central Apnea w/ arousals (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canba2,"Number of Central Apnea with >=2% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canba3,"Number of Central Apnea with >=3% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canba4,"Number of Central Apnea with >=4% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canba5,"Number of Central Apnea with >=5% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canbp,"Number of Central Apnea (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canbp2,"Number of Central Apnea (Non-rapid eye movement sleep (NREM), Supine, >=2% oxygen desaturation)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canbp3,"Number of Central Apnea (Non-rapid eye movement sleep (NREM), Supine, >=3% oxygen desaturation)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canbp4,"Number of Central Apnea (Non-rapid eye movement sleep (NREM), Supine, >=4% oxygen desaturation)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canbp5,"Number of Central Apnea (Non-rapid eye movement sleep (NREM), Supine, >=5% oxygen desaturation)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canoa,"Number of Central Apnea w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canoa2,"Number of Central Apnea with >=2% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canoa3,"Number of Central Apnea with >=3% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canoa4,"Number of Central Apnea with >=4% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canoa5,"Number of Central Apnea with >=5% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canop,"Number of Central Apnea (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canop2,"Number of Central Apnea (Non-rapid eye movement sleep (NREM), Non-supine, >=2% oxygen desaturation)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canop3,"Number of Central Apnea (Non-rapid eye movement sleep (NREM), Non-supine, >=3% oxygen desaturation)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canop4,"Number of Central Apnea (Non-rapid eye movement sleep (NREM), Non-supine, >=4% oxygen desaturation)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,canop5,"Number of Central Apnea (Non-rapid eye movement sleep (NREM), Non-supine, >=5% oxygen desaturation)","",numeric,central apnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,carba,"Number of Central Apnea w/ arousals (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)","",numeric,central apnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,carba2,"Number of Central Apnea with >=2% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,central apnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,carba3,"Number of Central Apnea with >=3% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,central apnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,carba4,"Number of Central Apnea with >=4% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,central apnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,carba5,"Number of Central Apnea with >=5% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,central apnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,carbp,"Number of Central Apnea (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)","",numeric,central apnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,carbp2,"Number of Central Apnea (Rapid eye movement sleep (REM), Supine, >=2% oxygen desaturation)","",numeric,central apnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,carbp3,"Number of Central Apnea (Rapid eye movement sleep (REM), Supine, >=3% oxygen desaturation)","",numeric,central apnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,carbp4,"Number of Central Apnea (Rapid eye movement sleep (REM), Supine, >=4% oxygen desaturation)","",numeric,central apnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,carbp5,"Number of Central Apnea (Rapid eye movement sleep (REM), Supine, >=5% oxygen desaturation)","",numeric,central apnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnba,"Central Apnea per hour w/ arousals (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnba2,"Central Apnea per hour with >=2% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnba3,"Central Apnea per hour with >=3% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnba4,"Central Apnea per hour with >=4% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnba5,"Central Apnea per hour with >=5% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnbp,"Central Apnea per hour (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnbp2,"Central Apnea per hour (Non-rapid eye movement sleep (NREM), Supine, >=2% oxygen desaturation)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnbp3,"Central Apnea per hour (Non-rapid eye movement sleep (NREM), Supine, >=3% oxygen desaturation)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnbp4,"Central Apnea per hour (Non-rapid eye movement sleep (NREM), Supine, >=4% oxygen desaturation)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnbp5,"Central Apnea per hour (Non-rapid eye movement sleep (NREM), Supine, >=5% oxygen desaturation)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnoa,"Central Apnea per hour w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnoa2,"Central Apnea per hour with >=2% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnoa3,"Central Apnea per hour with >=3% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnoa4,"Central Apnea per hour with >=4% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnoa5,"Central Apnea per hour with >=5% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnop,"Central Apnea per hour (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnop2,"Central Apnea per hour (Non-rapid eye movement sleep (NREM), Non-supine, >=2% oxygen desaturation)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnop3,"Central Apnea per hour (Non-rapid eye movement sleep (NREM), Non-supine, >=3% oxygen desaturation)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnop4,"Central Apnea per hour (Non-rapid eye movement sleep (NREM), Non-supine, >=4% oxygen desaturation)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardnop5,"Central Apnea per hour (Non-rapid eye movement sleep (NREM), Non-supine, >=5% oxygen desaturation)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardrba,"Central Apnea per hour w/ arousals (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)","",numeric,events per hour,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardrba2,"Central Apnea per hour with >=2% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,events per hour,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardrba3,"Central Apnea per hour with >=3% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,events per hour,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardrba4,"Central Apnea per hour with >=4% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,events per hour,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardrba5,"Central Apnea per hour with >=5% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,events per hour,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardrbp,"Central Apnea per hour (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)","",numeric,events per hour,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardrbp2,"Central Apnea per hour (Rapid eye movement sleep (REM), Supine, >=2% oxygen desaturation)","",numeric,events per hour,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardrbp3,"Central Apnea per hour (Rapid eye movement sleep (REM), Supine, >=3% oxygen desaturation)","",numeric,events per hour,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardrbp4,"Central Apnea per hour (Rapid eye movement sleep (REM), Supine, >=4% oxygen desaturation)","",numeric,events per hour,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardrbp5,"Central Apnea per hour (Rapid eye movement sleep (REM), Supine, >=5% oxygen desaturation)","",numeric,events per hour,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardroa,"Central Apnea per hour w/ arousals (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)","",numeric,events per hour,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardroa2,"Central Apnea per hour with >=2% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,events per hour,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardroa3,"Central Apnea per hour with >=3% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,events per hour,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardroa4,"Central Apnea per hour with >=4% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,events per hour,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardroa5,"Central Apnea per hour with >=5% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,events per hour,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardrop,"Central Apnea per hour (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)","",numeric,events per hour,"","","","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,cardrop2,"Central Apnea per hour (Rapid eye movement sleep (REM), Non-supine, >=2% oxygen desaturation)","",numeric,events per hour,"","","","",""
